Choicesituation,Block,question,mode,cost,alt,striper_length,bluefish_length,striper_keep,striper_rel,bluefish_keep,bluefish_rel,opt_out,fish_other_species,version
10,2,12,CHARTER BOAT,300,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 2
10,2,12,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 2
11,2,13,CHARTER BOAT,75,1,23,34,0,1,0,0,0,0,CHARTER BOAT Block 2
11,2,13,CHARTER BOAT,225,2,33,12,1,0,1,6,0,0,CHARTER BOAT Block 2
11,2,13,CHARTER BOAT,300,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 2
11,2,13,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 2
12,2,14,CHARTER BOAT,150,1,43,12,1,0,0,0,0,0,CHARTER BOAT Block 2
12,2,14,CHARTER BOAT,225,2,18,16,0,3,3,0,0,0,CHARTER BOAT Block 2
12,2,14,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 2
12,2,14,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 2
13,3,9,CHARTER BOAT,150,1,18,34,0,3,0,0,0,0,CHARTER BOAT Block 3
13,3,9,CHARTER BOAT,300,2,28,34,2,5,3,0,0,0,CHARTER BOAT Block 3
13,3,9,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 3
13,3,9,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 3
14,3,10,CHARTER BOAT,150,1,18,28,0,6,1,0,0,0,CHARTER BOAT Block 3
14,3,10,CHARTER BOAT,75,2,28,12,0,3,0,0,0,0,CHARTER BOAT Block 3
14,3,10,CHARTER BOAT,225,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 3
14,3,10,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 3
15,3,11,CHARTER BOAT,300,1,33,12,1,0,1,6,0,0,CHARTER BOAT Block 3
15,3,11,CHARTER BOAT,225,2,18,16,0,3,0,0,0,0,CHARTER BOAT Block 3
15,3,11,CHARTER BOAT,300,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 3
15,3,11,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 3
16,3,12,CHARTER BOAT,225,1,18,24,0,6,0,0,0,0,CHARTER BOAT Block 3
16,3,12,CHARTER BOAT,300,2,43,34,2,5,3,0,0,0,CHARTER BOAT Block 3
16,3,12,CHARTER BOAT,225,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 3
16,3,12,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 3
17,3,13,CHARTER BOAT,150,1,23,12,0,3,3,0,0,0,CHARTER BOAT Block 3
17,3,13,CHARTER BOAT,225,2,33,34,0,7,3,0,0,0,CHARTER BOAT Block 3
17,3,13,CHARTER BOAT,300,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 3
17,3,13,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 3
18,3,14,CHARTER BOAT,75,1,18,20,0,1,1,0,0,0,CHARTER BOAT Block 3
18,3,14,CHARTER BOAT,225,2,43,34,0,0,3,0,0,0,CHARTER BOAT Block 3
18,3,14,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 3
18,3,14,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 3
19,4,9,CHARTER BOAT,150,1,18,28,0,6,0,0,0,0,CHARTER BOAT Block 4
19,4,9,CHARTER BOAT,75,2,43,16,2,1,0,0,0,0,CHARTER BOAT Block 4
19,4,9,CHARTER BOAT,225,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 4
19,4,9,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 4
20,4,10,CHARTER BOAT,225,1,18,34,0,6,3,0,0,0,CHARTER BOAT Block 4
20,4,10,CHARTER BOAT,75,2,38,20,1,0,0,0,0,0,CHARTER BOAT Block 4
20,4,10,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 4
20,4,10,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 4
21,4,11,CHARTER BOAT,150,1,33,34,1,0,0,0,0,0,CHARTER BOAT Block 4
21,4,11,CHARTER BOAT,225,2,28,12,2,1,0,0,0,0,CHARTER BOAT Block 4
21,4,11,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 4
21,4,11,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 4
22,4,12,CHARTER BOAT,75,1,18,34,0,0,6,1,0,0,CHARTER BOAT Block 4
22,4,12,CHARTER BOAT,225,2,18,24,0,7,1,0,0,0,CHARTER BOAT Block 4
22,4,12,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 4
22,4,12,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 4
23,4,13,CHARTER BOAT,150,1,43,20,1,0,1,2,0,0,CHARTER BOAT Block 4
23,4,13,CHARTER BOAT,75,2,23,34,1,0,1,0,0,0,CHARTER BOAT Block 4
23,4,13,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 4
23,4,13,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 4
24,4,14,CHARTER BOAT,300,1,23,20,0,6,0,0,0,0,CHARTER BOAT Block 4
24,4,14,CHARTER BOAT,225,2,18,12,0,3,3,0,0,0,CHARTER BOAT Block 4
24,4,14,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 4
24,4,14,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 4
25,5,9,CHARTER BOAT,225,1,38,34,2,1,0,0,0,0,CHARTER BOAT Block 5
25,5,9,CHARTER BOAT,150,2,28,12,1,0,0,0,0,0,CHARTER BOAT Block 5
25,5,9,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 5
25,5,9,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 5
26,5,10,CHARTER BOAT,300,1,28,28,3,0,6,1,0,0,CHARTER BOAT Block 5
26,5,10,CHARTER BOAT,150,2,18,12,0,7,0,0,0,0,CHARTER BOAT Block 5
26,5,10,CHARTER BOAT,225,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 5
26,5,10,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 5
27,5,11,CHARTER BOAT,300,1,33,12,1,0,3,4,0,0,CHARTER BOAT Block 5
27,5,11,CHARTER BOAT,225,2,23,24,0,7,0,0,0,0,CHARTER BOAT Block 5
27,5,11,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 5
27,5,11,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 5
28,5,12,CHARTER BOAT,75,1,43,12,0,0,3,0,0,0,CHARTER BOAT Block 5
28,5,12,CHARTER BOAT,150,2,43,24,2,5,0,0,0,0,CHARTER BOAT Block 5
28,5,12,CHARTER BOAT,300,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 5
28,5,12,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 5
29,5,13,CHARTER BOAT,150,1,43,34,2,5,1,0,0,0,CHARTER BOAT Block 5
29,5,13,CHARTER BOAT,75,2,18,34,0,1,3,0,0,0,CHARTER BOAT Block 5
29,5,13,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 5
29,5,13,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 5
30,5,14,CHARTER BOAT,225,1,43,20,2,5,1,0,0,0,CHARTER BOAT Block 5
30,5,14,CHARTER BOAT,75,2,18,34,0,0,3,4,0,0,CHARTER BOAT Block 5
30,5,14,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 5
30,5,14,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 5
31,6,9,CHARTER BOAT,225,1,18,34,0,3,0,0,0,0,CHARTER BOAT Block 6
31,6,9,CHARTER BOAT,300,2,33,24,0,7,0,0,0,0,CHARTER BOAT Block 6
31,6,9,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 6
31,6,9,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 6
32,6,10,CHARTER BOAT,300,1,43,16,2,1,3,0,0,0,CHARTER BOAT Block 6
32,6,10,CHARTER BOAT,225,2,33,12,1,0,0,0,0,0,CHARTER BOAT Block 6
32,6,10,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 6
32,6,10,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 6
33,6,11,CHARTER BOAT,150,1,38,12,2,5,0,0,0,0,CHARTER BOAT Block 6
33,6,11,CHARTER BOAT,75,2,18,28,0,0,3,0,0,0,CHARTER BOAT Block 6
33,6,11,CHARTER BOAT,300,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 6
33,6,11,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 6
34,6,12,CHARTER BOAT,300,1,38,12,0,6,1,0,0,0,CHARTER BOAT Block 6
34,6,12,CHARTER BOAT,150,2,33,34,1,0,1,0,0,0,CHARTER BOAT Block 6
34,6,12,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 6
34,6,12,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 6
35,6,13,CHARTER BOAT,300,1,43,34,2,5,3,0,0,0,CHARTER BOAT Block 6
35,6,13,CHARTER BOAT,150,2,23,34,0,3,0,0,0,0,CHARTER BOAT Block 6
35,6,13,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 6
35,6,13,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 6
36,6,14,CHARTER BOAT,300,1,43,34,0,6,3,4,0,0,CHARTER BOAT Block 6
36,6,14,CHARTER BOAT,75,2,18,24,0,1,0,0,0,0,CHARTER BOAT Block 6
36,6,14,CHARTER BOAT,225,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 6
36,6,14,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 6
37,7,9,CHARTER BOAT,300,1,38,34,2,5,0,0,0,0,CHARTER BOAT Block 7
37,7,9,CHARTER BOAT,225,2,43,12,2,1,0,0,0,0,CHARTER BOAT Block 7
37,7,9,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 7
37,7,9,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 7
38,7,10,CHARTER BOAT,300,1,38,20,1,2,1,0,0,0,CHARTER BOAT Block 7
38,7,10,CHARTER BOAT,75,2,18,34,0,1,0,0,0,0,CHARTER BOAT Block 7
38,7,10,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 7
38,7,10,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 7
39,7,11,CHARTER BOAT,150,1,18,28,0,6,0,0,0,0,CHARTER BOAT Block 7
39,7,11,CHARTER BOAT,75,2,43,12,3,0,1,0,0,0,CHARTER BOAT Block 7
39,7,11,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 7
39,7,11,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 7
40,7,12,CHARTER BOAT,150,1,18,34,0,3,1,0,0,0,CHARTER BOAT Block 7
40,7,12,CHARTER BOAT,225,2,43,20,3,4,1,0,0,0,CHARTER BOAT Block 7
40,7,12,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 7
40,7,12,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 7
41,7,13,CHARTER BOAT,300,1,38,24,1,2,0,0,0,0,CHARTER BOAT Block 7
41,7,13,CHARTER BOAT,225,2,23,12,0,1,1,0,0,0,CHARTER BOAT Block 7
41,7,13,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 7
41,7,13,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 7
42,7,14,CHARTER BOAT,300,1,43,34,3,0,6,1,0,0,CHARTER BOAT Block 7
42,7,14,CHARTER BOAT,75,2,18,28,0,1,0,0,0,0,CHARTER BOAT Block 7
42,7,14,CHARTER BOAT,300,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 7
42,7,14,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 7
43,8,9,CHARTER BOAT,225,1,43,20,0,6,1,0,0,0,CHARTER BOAT Block 8
43,8,9,CHARTER BOAT,150,2,18,12,0,3,3,0,0,0,CHARTER BOAT Block 8
43,8,9,CHARTER BOAT,225,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 8
43,8,9,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 8
44,8,10,CHARTER BOAT,225,1,43,24,2,5,3,0,0,0,CHARTER BOAT Block 8
44,8,10,CHARTER BOAT,75,2,43,34,1,0,0,0,0,0,CHARTER BOAT Block 8
44,8,10,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 8
44,8,10,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 8
45,8,11,CHARTER BOAT,150,1,43,34,1,6,1,0,0,0,CHARTER BOAT Block 8
45,8,11,CHARTER BOAT,75,2,28,34,0,0,1,6,0,0,CHARTER BOAT Block 8
45,8,11,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 8
45,8,11,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 8
46,8,12,CHARTER BOAT,75,1,18,16,0,0,1,0,0,0,CHARTER BOAT Block 8
46,8,12,CHARTER BOAT,225,2,43,34,1,2,1,2,0,0,CHARTER BOAT Block 8
46,8,12,CHARTER BOAT,300,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 8
46,8,12,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 8
47,8,13,CHARTER BOAT,75,1,43,12,1,0,0,0,0,0,CHARTER BOAT Block 8
47,8,13,CHARTER BOAT,225,2,18,20,0,7,1,6,0,0,CHARTER BOAT Block 8
47,8,13,CHARTER BOAT,300,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 8
47,8,13,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 8
48,8,14,CHARTER BOAT,75,1,18,20,0,0,1,2,0,0,CHARTER BOAT Block 8
48,8,14,CHARTER BOAT,225,2,18,28,0,7,1,2,0,0,CHARTER BOAT Block 8
48,8,14,CHARTER BOAT,225,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 8
48,8,14,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 8
49,9,9,CHARTER BOAT,225,1,33,12,1,0,0,0,0,0,CHARTER BOAT Block 9
49,9,9,CHARTER BOAT,300,2,18,16,0,3,0,0,0,0,CHARTER BOAT Block 9
49,9,9,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 9
49,9,9,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 9
50,9,10,CHARTER BOAT,75,1,43,16,0,0,3,0,0,0,CHARTER BOAT Block 9
50,9,10,CHARTER BOAT,150,2,43,34,2,5,1,0,0,0,CHARTER BOAT Block 9
50,9,10,CHARTER BOAT,225,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 9
50,9,10,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 9
51,9,11,CHARTER BOAT,150,1,43,34,0,3,1,0,0,0,CHARTER BOAT Block 9
51,9,11,CHARTER BOAT,75,2,18,12,0,0,3,0,0,0,CHARTER BOAT Block 9
51,9,11,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 9
51,9,11,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 9
52,9,12,CHARTER BOAT,225,1,23,34,0,3,0,0,0,0,CHARTER BOAT Block 9
52,9,12,CHARTER BOAT,300,2,23,28,0,3,1,0,0,0,CHARTER BOAT Block 9
52,9,12,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 9
52,9,12,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 9
53,9,13,CHARTER BOAT,75,1,38,12,0,0,6,1,0,0,CHARTER BOAT Block 9
53,9,13,CHARTER BOAT,225,2,43,20,3,4,1,0,0,0,CHARTER BOAT Block 9
53,9,13,CHARTER BOAT,225,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 9
53,9,13,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 9
54,9,14,CHARTER BOAT,75,1,43,12,1,0,0,0,0,0,CHARTER BOAT Block 9
54,9,14,CHARTER BOAT,150,2,23,34,0,3,1,0,0,0,CHARTER BOAT Block 9
54,9,14,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 9
54,9,14,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 9
55,10,9,CHARTER BOAT,150,1,18,12,0,3,0,0,0,0,CHARTER BOAT Block 10
55,10,9,CHARTER BOAT,75,2,43,24,0,0,1,0,0,0,CHARTER BOAT Block 10
55,10,9,CHARTER BOAT,225,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 10
55,10,9,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 10
56,10,10,CHARTER BOAT,300,1,38,24,0,6,3,0,0,0,CHARTER BOAT Block 10
56,10,10,CHARTER BOAT,75,2,18,34,0,7,0,0,0,0,CHARTER BOAT Block 10
56,10,10,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 10
56,10,10,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 10
57,10,11,CHARTER BOAT,75,1,28,34,0,0,1,6,0,0,CHARTER BOAT Block 10
57,10,11,CHARTER BOAT,150,2,43,12,1,0,1,6,0,0,CHARTER BOAT Block 10
57,10,11,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 10
57,10,11,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 10
58,10,12,CHARTER BOAT,150,1,18,34,0,6,3,0,0,0,CHARTER BOAT Block 10
58,10,12,CHARTER BOAT,75,2,23,12,0,0,6,1,0,0,CHARTER BOAT Block 10
58,10,12,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 10
58,10,12,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 10
59,10,13,CHARTER BOAT,150,1,43,12,0,1,1,2,0,0,CHARTER BOAT Block 10
59,10,13,CHARTER BOAT,75,2,18,28,0,0,1,0,0,0,CHARTER BOAT Block 10
59,10,13,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 10
59,10,13,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 10
60,10,14,CHARTER BOAT,150,1,43,28,0,0,1,2,0,0,CHARTER BOAT Block 10
60,10,14,CHARTER BOAT,225,2,18,16,1,2,1,0,0,0,CHARTER BOAT Block 10
60,10,14,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 10
60,10,14,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 10
61,11,9,CHARTER BOAT,225,1,33,12,2,1,3,0,0,0,CHARTER BOAT Block 11
61,11,9,CHARTER BOAT,150,2,18,34,0,0,3,0,0,0,CHARTER BOAT Block 11
61,11,9,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 11
61,11,9,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 11
62,11,10,CHARTER BOAT,75,1,33,16,1,0,1,0,0,0,CHARTER BOAT Block 11
62,11,10,CHARTER BOAT,225,2,18,34,0,7,3,4,0,0,CHARTER BOAT Block 11
62,11,10,CHARTER BOAT,300,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 11
62,11,10,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 11
63,11,11,CHARTER BOAT,75,1,18,28,0,1,0,0,0,0,CHARTER BOAT Block 11
63,11,11,CHARTER BOAT,225,2,18,20,0,7,1,6,0,0,CHARTER BOAT Block 11
63,11,11,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 11
63,11,11,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 11
64,11,12,CHARTER BOAT,150,1,28,12,1,0,1,0,0,0,CHARTER BOAT Block 11
64,11,12,CHARTER BOAT,75,2,23,34,0,7,1,0,0,0,CHARTER BOAT Block 11
64,11,12,CHARTER BOAT,150,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 11
64,11,12,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 11
65,11,13,CHARTER BOAT,225,1,43,34,0,3,3,0,0,0,CHARTER BOAT Block 11
65,11,13,CHARTER BOAT,75,2,18,12,0,3,1,0,0,0,CHARTER BOAT Block 11
65,11,13,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 11
65,11,13,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 11
66,11,14,CHARTER BOAT,150,1,43,12,1,0,0,0,0,0,CHARTER BOAT Block 11
66,11,14,CHARTER BOAT,300,2,23,24,0,7,1,6,0,0,CHARTER BOAT Block 11
66,11,14,CHARTER BOAT,300,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 11
66,11,14,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 11
67,12,9,CHARTER BOAT,300,1,33,12,2,1,0,0,0,0,CHARTER BOAT Block 12
67,12,9,CHARTER BOAT,225,2,23,34,0,1,0,0,0,0,CHARTER BOAT Block 12
67,12,9,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 12
67,12,9,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 12
68,12,10,CHARTER BOAT,300,1,43,24,1,6,0,0,0,0,CHARTER BOAT Block 12
68,12,10,CHARTER BOAT,225,2,43,28,1,0,1,2,0,0,CHARTER BOAT Block 12
68,12,10,CHARTER BOAT,225,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 12
68,12,10,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 12
69,12,11,CHARTER BOAT,75,1,33,12,0,6,0,0,0,0,CHARTER BOAT Block 12
69,12,11,CHARTER BOAT,150,2,33,12,0,3,6,1,0,0,CHARTER BOAT Block 12
69,12,11,CHARTER BOAT,75,3,0,0,0,0,0,0,0,1,CHARTER BOAT Block 12
69,12,11,CHARTER BOAT,0,4,0,0,0,0,0,0,1,0,CHARTER BOAT Block 12
70,12,12,CHARTER BOAT,150,1,43,12,1,0,0,0,0,0,CHARTER BOAT Block 12
